RTSD_Code,RTSD_ID,Belarus_Equivalent,Belarus_Description_RU,Belarus_Description_EN,Status,Category,Notes
1_1,118,1.1,Железнодорожный переезд со шлагбаумом,Railway crossing with a barrier,MATCH,WARNING,CORRECT. 1.1 
1_2,79,1.2,Железнодорожный переезд без шлагбаума,Railway crossing without a barrier,MATCH,WARNING, CORRECT. 1.2
1_5,129,1.5,Пересечение с трамвайной линией,Trams,MATCH,WARNING, CORRECT. 1.5
1_7,110,1.7,Пересечение с круговым движением,Roundabout,MATCH,WARNING,CORRECT. 1.7
1_8,55,1.8,Светофорное регулирование,Traffic signals,MATCH,WARNING,CORRECT. 1.8
1_10,150,1.10,Выезд на набережную,Departure to the embankment,MATCH,WARNING,CORRECT. 1.10
1_11,61,1.11,Опасный поворот (направо),Dangerous curve (right),VARIANT,WARNING,CHANGE TO 1.11.1
1_11_1,38,1.11,Опасный поворот (направо),Dangerous curve (right),MATCH,WARNING, CHANGE TO 1.11.2 (ONE CLASS 1.11)
1_12,65,1.12,Опасные повороты (первый — направо),Dangerous curves (first right),VARIANT,WARNING,CHANGE TO 1.12.1
1_12_2,63,1.12,Опасные повороты (первый — налево),Dangerous curves (first left),MATCH,WARNING, CHANGE TO 1.12.2 (ONE CLASS 1.12)
1_13,102,1.13,Крутой спуск,Steep descent,MATCH,WARNING, CORRECT. 1.13
1_14,103,1.14,Крутой подъём,Steep climb,MATCH,WARNING, CORRECT. 1.14
1_15,26,1.15,Скользкая дорога,Slippery road,MATCH,WARNING,CORRECT. 1.15
1_16,37,1.16.2-4,Неровная дорога,Rough road,VARIANT,WARNING,CHANGE TO 1.16.2-4
1_17,2,1.16.1,Искусственная неровность,Speed bump,MATCH,WARNING,CHANGE TO 1.16.1
1_18,112,1.17,Выброс щебня,Crushing discharge,VARIANT,WARNING,CHANGE TO 1.17
1_19,33,1.32,Опасная обочина,Dangerous bypassing,VARIANT,WARNING,CHANGE TO 1.32
1_20,64,1.18.1,Сужение дороги с обеих сторон,Road narrows (both sides),MATCH,WARNING,CHANGE TO 1.18.1
1_20_2,80,1.18.2,Сужение дороги справа,Road narrows (right),RUSSIAN_ONLY,UNKNOWN, CHANGE TO 1.18.2
1_20_3,15,1.18.3,Сужение дороги слева,Road narrows (left),RUSSIAN_ONLY,UNKNOWN, CHANGE TO 1.18.3
1_21,100,1.19,Двустороннее движение,Two-way traffic,MATCH,WARNING,CHANGE TO 1.19
1_22,51,1.20,Впереди пешеходный переход,Intersection with a pedestrian crossing,MATCH,WARNING, CHANGE TO 1.20
1_23,1,1.21,Дети,Children,MATCH,WARNING,CHANGE TO 1.21
1_25,16,1.23,Дорожные работы,Roadworks,MATCH,WARNING,CHANGE TO 1.23
1_26,146,1.24,Перегон скота,Сattle drive,MATCH,WARNING, CHANGE TO 1.24
1_27,52,1.25,Дикиие животные,Deer ahead,MATCH,WARNING,CHANGE TO 1.25
