class_id,by_code,by_name_ru,by_name_en,section,priority,merged_from,merge_reason,include_in_detector,include_in_classifier,rtsd_source,notes
0,1.1,Железнодорожный переезд со шлагбаумом,Railway crossing with a barrier,§1 Предупреждающие,1,,,-,YES,YES,1_1,
1,1.2,Железнодорожный переезд без шлагбаума,Railway crossing without a barrier,§1 Предупреждающие,1,,,YES,YES,1_2,
2,1.3.1,Однопутная железная дорога,Single-track railway,§1 Предупреждающие,2,,,YES,YES,1_3_1,Отдельно — пиктограмма отличается от 1.3.2
3,1.3.2,Многопутная железная дорога,Multi-track railway,§1 Предупреждающие,2,,,YES,YES,1_3_2,Отдельно — пиктограмма отличается от 1.3.1
4,1.4.1,Приближение к ж/д (1 полоска левая),Approaching railway (1 stripe left),§1 Предупреждающие,3,,,YES,YES,7_15,Отдельно �� число и сторона полосок различимы
5,1.4.2,Приближение к ж/д (2 полоски левые),Approaching railway (2 stripes left),§1 Предупреждающие,3,,,YES,YES,7_15,Отдельно
6,1.4.3,Приближение к ж/д (3 полоски левые),Approaching railway (3 stripes left),§1 Предупреждающие,3,,,YES,YES,7_15,Отдельно
7,1.4.4,Приближение к ж/д (1 полоска правая),Approaching railway (1 stripe right),§1 Предупреждающие,3,,,YES,YES,,Отдельно
8,1.4.5,Приближение к ж/д (2 полоски правые),Approaching railway (2 stripes right),§1 Предупреждающие,3,,,YES,YES,,Отдельно
9,1.4.6,Приближение к ж/д (3 полоски правые),Approaching railway (3 stripes right),§1 Предупреждающие,3,,,YES,YES,,Отдельно
10,1.5,Пересечение с трамвайной линией,Trams,§1 Предупреждающие,2,,,YES,YES,1_5,
11,1.6,Конец дороги с усовершенствованным покрытием,End of paved road,§1 Предупреждающие,3,,,YES,YES,1_6,Нет прямого аналога в RTSD — нужны доп. данные
12,1.7,Пересечение с круговым движением,Roundabout,§1 Предупреждающие,2,,,YES,YES,1_7,
13,1.8,Светофорное регулирование,Traffic signals,§1 Предупреждающие,1,,,YES,YES,1_8,
14,1.9,Разводной мост или паромная переправа,Opening bridge,§1 Предупреждающие,3,,,YES,YES,,Нужны доп. данные
15,1.10,Выезд на набережную,Departure to the embankment,§1 Предупреждающие,3,,,YES,YES,1_10,
16,1.11.1,Опасный поворот направо,Dangerous curve right,§1 Предупреждающие,1,,,YES,YES,1_11,Отдельно — стрелка зеркальна 1.11.2
