Раздел / Section,Пункт / Code,Название (РУС),Name (ENG)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.1,Железнодорожный переезд со шлагбаумом,Railway crossing with a barrier
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.2,Железнодорожный переезд без шлагбаума,Railway crossing without a barrier
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.3.1,Однопутная железная дорога,Single-track railway
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.3.2,Многопутная железная дорога,Multi-track railway
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.4.1,Приближение к железнодорожному переезду,Approaching a railway crossing
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.4.2,Приближение к железнодорожному переезду,Approaching a railway crossing
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.4.3,Приближение к железнодорожному переезду,Approaching a railway crossing
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.4.4,Приближение к железнодорожному переезду,Approaching a railway crossing
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.4.5,Приближение к железнодорожному переезду,Approaching a railway crossing
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.4.6,Приближение к железнодорожному переезду,Approaching a railway crossing
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.5,Пересечение с трамвайной линией,Trams
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.6,Конец дороги с усовершенствованным покрытием,End of paved road
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.7,Пересечение с круговым движением,Roundabout
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.8,Светофорное регулирование,Traffic signals
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.9,Разводной мост или паромная переправа,Opening bridge
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.10,Выезд на набережную,Departure to the embankment
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.11.1,Опасный поворот (направо),Dangerous curve (right)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.11.2,Опасный поворот (налево),Dangerous curve (left)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.12.1,Опасные повороты (первый — направо),Dangerous curves (first right)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.12.2,Опасные повороты (первый — налево),Dangerous curves (first left)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.13,Крутой спуск,Steep descent
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.14,Крутой подъём,Steep climb
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.15,Скользкая дорога,Slippery road
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.16.1,Искусственная неровность,Speed bump
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.16.2,Неровная дорога,Uneven road
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.16.3,Неровная дорога (бугор),Uneven road (bump)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.16.4,Неровная дорога (выбоины),Uneven road (potholes)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.17,Выброс гравия,Gravel surface
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.18.1,Сужение дороги (с обеих сторон),Road narrows (both sides)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.18.2,Сужение дороги (справа),Road narrows (right)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.18.3,Сужение дороги (слева),Road narrows (left)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.18.4,"Сужение дороги (с обеих сторон, временный)","Road narrows (both sides, temporary)"
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.18.5,"Сужение дороги (справа, временный)","Road narrows (right, temporary)"
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.18.6,"Сужение дороги (слева, временный)","Road narrows (left, temporary)"
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.19.1,Двустороннее движение,Two-way traffic
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.19.2,Двустороннее движение (временный),Two-way traffic (temporary)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.20,Впереди пешеходный переход,Pedestrian crossing ahead
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.21,Дети,Children
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.22,Впереди велосипедный переезд,Intersection with a bike path
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.23,Дорожные работы,Roadworks
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.24,Перегон скота,Cattle ahead
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.25,Дикие животные,Deer ahead
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.26,Падение камней,Falling rocks
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.27,Боковой ветер,Side wind
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.28,Низколетящие самолёты,Low-flying aircraft
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.29,Аварийно-опасный участок,Accident danger zone
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.30,Прочие опасности,Other dangers
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.31.1,Направление поворота (направо),Hazard chevron (right)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.31.2,Направление поворота (налево),Hazard chevron (left)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.31.3,Направление поворота (Т-образный),Hazard chevron (T-junction)
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.31.4,"Направление поворота (направо, временный)","Hazard chevron (right, temporary)"
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.31.5,"Направление поворота (налево, временный)","Hazard chevron (left, temporary)"
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.32,Опасная обочина,Dangerous roadside
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.33,Гололедица,Ice on road
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.34,Затор на дороге,Congestion
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.35,Сезонные миграции земноводных,Seasonal migrations of amphibians
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.36,Контроль установленной скорости движения,Speed control
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.37,Контроль выполнения требований ПДД,Traffic rules enforcement control
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.38,Начало участка контроля средней скорости,Start of average speed control zone
§ 1. ПРЕДУПРЕЖДАЮЩИЕ ЗНАКИ / WARNING SIGNS,1.39,Конец участка контроля средней скорости,End of average speed control zone
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.1,Главная дорога,Priority road
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.2,Конец главной дороги,End of priority road
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.3.1,Пересечение со второстепенной дорогой,Intersection with a secondary road
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.3.2,Примыкание второстепенной дороги (справа),Secondary road junction (right)
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.3.3,Примыкание второстепенной дороги (слева),Secondary road junction (left)
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.3.4,Пересечение равнозначных дорог,Crossroads
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.4,Уступить дорогу,Give way
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.5,Движение без остановки запрещено,Stop
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.6.1,Преимущество встречного движения,Give way to oncoming traffic
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.6.2,Преимущество встречного движения (временный),Give way to oncoming traffic (temporary)
§ 2. ЗНАКИ ПРИОРИТЕТА / PRIORITY SIGNS,2.7,Преимущество перед встречным движением,Priority over oncoming traffic
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.1,Въезд запрещён,No entry
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.2,Движение запрещено,No traffic
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.3,Движение механических ТС запрещено,No motor vehicles
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.4,Движение грузовых автомобилей запрещено,No lorries
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.5,Движение мотоциклов запрещено,No motorcycles
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.6,Движение тракторов запрещено,No tractors
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.7,Движение с прицепом запрещено,No trailers
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.8,Движение гужевых ТС запрещено,No horse-drawn carts
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.9,Движение велосипедов запрещено,No bicycles
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.10,Движение пешеходов запрещено,No pedestrians
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.11.1,Ограничение массы,Weight limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.11.2,Ограничение массы (временный),Weight limit (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.12.1,Ограничение нагрузки на ось,Axle weight limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.12.2,Ограничение нагрузки на ось (временный),Axle weight limit (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.13,Ограничение высоты,Height limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.14,Ограничение ширины,Width limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.15.1,Ограничение длины,Length limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.15.2,Ограничение длины (временный),Length limit (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.16,Ограничение минимальной дистанции,Minimum distance limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.17.1,Таможня,Customs
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.17.2,Опасность,Danger
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.18.1,Поворот направо запрещён,No right turn
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.18.2,Поворот налево запрещён,No left turn
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.19,Разворот запрещён,No U-turn
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.20.1,Обгон запрещён,No overtaking
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.20.2,Обгон запрещён (временный),No overtaking (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.20.3,Обгон запрещён (с указанием скорости),No overtaking (speed indicated)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.21.1,Конец зоны запрещения обгона,End of no overtaking zone
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.21.2,Конец зоны запрещения обгона (временный),End of no overtaking zone (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.22,Обгон грузовым автомобилям запрещён,No overtaking by lorries
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.23,Конец зоны запрещения обгона грузовым автомобилям,End of no overtaking by lorries zone
