ID,Название,Количество,Точность (mAP50)
0,2.1: Главная дорога,15,0.9663
1,1.21: Дети,15,0.7856
2,1.16.1: Искусственная неровность,15,0.7231
3,3.24: Ограничение максимальной скорости,15,0.8715
4,5.16: Пешеходный переход,15,0.9486
5,5.12.1: Остановочный пункт автобуса,15,0.9364
6,3.25: Конец зоны ограничения скорости,15,0.2131
7,5.33: Стоп-линия,15,0.7645
8,2.2: Конец главной дороги,15,0.5603
9,2.4: Уступить дорогу,15,0.9155
10,4.2.1: Объезд препятствия справа,15,0.8323
11,1.23: Дорожные работы,15,0.704
12,3.4: Движение грузовых ТС запрещено,15,0.199
13,4.1.6: Движение направо или налево,15,0.947
14,4.2.3: Объезд препятствия справа или слева,15,0.8812
15,4.1.1: Движение прямо,15,0.9106
16,1.30: Прочие опасности,15,0.342
17,3.27: Остановка запрещена,15,0.94
18,1.15: Скользкая дорога,15,0.3111
19,5.11.1: Место для разворота,15,0.8473
20,5.17.3-4: Надземный пешеходный переход,15,0.7828
21,6.3: Автозаправочная станция,15,0.8562
22,1.32: Опасная обочина,15,0.3517
23,5.15: Место стоянки,15,0.8409
24,1.16.2-4: Неровная дорога,15,0.4006
25,1.11.2: Опасный поворот (налево),15,0.2902
26,5.17.1-2: Подземный пешеходный переход,15,0.8307
27,6.2: Больница,15,0.7472
28,3.18.1: Поворот направо запрещён,15,0.6516
29,5.6: Конец дороги с односторонним движением,15,0.8785
30,5.5: Дорога с односторонним движением,15,0.8126
31,6.4: Техническое обслуживание автомобилей,15,0.67
32,4.1.2: Движение направо,15,0.7605
33,6.11: Место отдыха,15,0.5384
34,1.20: Впереди пешеходный переход,15,0.6805
35,1.25: Дикие животные,15,0.269
36,2.3.2: Примыкание второстепенной дороги (справа),15,0.4943
37,1.8: Светофорное регулирование,15,0.6648
38,3.13: Ограничение высоты,15,0.5105
39,2.3.1: Пересечение со второстепенной дорогой,15,0.2864
40,2.3.3: Примыкание второстепенной дороги (слева),15,0.3618
41,6.7: Пункт питания,15,0.6074
42,1.11.1: Опасный поворот (направо),15,0.2927
43,1.12.2: Опасные повороты (первый — налево),15,0.1323
44,1.18.1: Сужение дороги с обеих сторон,15,0.0461
45,1.12.1: Опасные повороты (первый — направо),15,0.3738
46,3.32: Движение ТС с опасными грузами запрещено,15,0.4877
47,2.5: Движение без остановки запрещено,15,0.7837
48,3.1: Въезд запрещён,15,0.645
49,3.20: Обгон запрещён,15,0.9668
50,3.2: Движение запрещено,15,0.4047
51,5.39: Конец жилой зоны,15,0.3325
52,5.14.2: Место стоянки такси,15,0.7887
53,6.5: Мойка автомобилей,15,0.0167
54,3.14: Ограничение ширины,15,0.7
55,1.2: Железнодорожный переезд без шлагбаума,15,0.7903
56,4.1.4: Движение прямо или направо,15,0.0198
57,6.6: Телефон,15,0.5156
58,4.3: Круговое движение,15,0.4208
59,4.1.5: Движение прямо или налево,15,0.7232
60,3.10: Движение пешеходов запрещено,15,0.6558
61,4.2.2: Объезд препятствия слева,15,0.8206
62,6.1: Пункт первой медицинской помощи,15,0.6781
63,3.28: Стоянка запрещена,15,0.7414
64,4.1.3: Движение налево,15,0.77
65,5.4: Конец дороги для автомобилей,15,0.4539
66,5.3: Дорога для автомобилей,15,0.7759
67,3.31: Конец зоны всех ограничений,15,0.082
68,5.18.1: Рекомендуемая скорость,15,0.9328
69,1.19: Двустороннее движение,15,0.2907
70,3.21: Конец зоны запрещения обгона,15,0.2342
71,1.13: Крутой спуск,15,0.4975
72,1.14: Крутой подъём,15,0.4494
73,2.3.4: Пересечение равнозначных дорог,15,0.3546
74,2.6: Преимущество встречного движения,15,0.5335
75,3.18.2: Поворот налево запрещён,15,0.3909
76,1.7: Пересечение с круговым движением,15,0.5335
77,3.19: Разворот запрещён,15,0.995
78,1.17: Выброс щебня,15,0.7164
79,2.7: Преимущество перед встречным движением,15,0.2767
80,5.9.1: Полоса для маршрутных ТС,15,0.3871
81,5.38: Жилая зона,15,0.0758
82,1.1: Железнодорожный переезд со шлагбаумом,15,0.995
83,4.5.1: Пешеходная дорожка,15,0.2529
84,3.11: Ограничение массы,15,0.5806
85,3.30: Стоянка запрещена по чётным числам,15,0.5816
86,5.7.1: Выезд на дорогу с односторонним движением,15,0.4313
87,5.7.2: Выезд на дорогу с односторонним движением,15,0.995
88,1.5: Пересечение with трамвайной линией,15,0.6604
89,3.29: Стоянка запрещена по нечётным числам,15,0.1662
90,5.10.4: Конец дороги с полосой для маршрутных ТС,15,0.8484
91,3.16: Ограничение минимальной дистанции,15,0.339
92,1.28: Низколетящие самолеты,15,0.0
93,5.10.1: Дорога с полосой для маршрутных ТС,15,0.199
94,3.12: Ограничение нагрузки на ось,15,0.2809
95,3.33: Зона с ограничением максимальной скорости,15,0.995
96,5.35: Реверсивное движение,15,0.745
97,3.6: Движение тракторов запрещено,15,0.0
98,1.24: Перегон скота,15,0.0
99,5.13.1: Остановочный пункт трамвая,15,0.0
100,1.10: Выезд на набережную,15,0.0
101,6.13: Туалет,15,0.0
102,6.14: Пункт контроля автомобильных перевозок,15,0.0
