epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.131,0.50655,2.12776,0.97582,0.65028,0.56964,0.56495,0.49164,0.60023,1.18048,0.5205,0.0670192,0.000333139,0.000333139
2,1292.84,0.39571,1.33435,0.93598,0.75074,0.83848,0.84487,0.82814,0.27551,0.60194,0.36605,0.034012,0.000659263,0.000659263
3,2206.67,0.34896,1.10672,0.92386,0.82894,0.88431,0.89468,0.86299,0.29649,0.43345,0.38797,0.000976444,0.000957019,0.000957019
4,3115.5,0.31039,0.97874,0.91484,0.86521,0.93653,0.91079,0.90752,0.21349,0.28018,0.33213,0.000905463,0.000905463,0.000905463
5,4005.1,0.29286,0.90634,0.91086,0.88315,0.95155,0.93228,0.93004,0.16931,0.24555,0.31959,0.00083622,0.00083622,0.00083622
6,4901.6,0.23197,0.36032,0.90723,0.89512,0.95996,0.92193,0.91522,0.25763,0.2535,0.34499,0.0007525,0.0007525,0.0007525
7,5802.47,0.19613,0.29159,0.89682,0.90716,0.95758,0.92788,0.92672,0.20203,0.21136,0.32063,0.000657963,0.000657963,0.000657963
8,6702.5,0.18438,0.25862,0.89536,0.91978,0.96226,0.94045,0.93978,0.21153,0.20596,0.32516,0.000556742,0.000556742,0.000556742
9,7613.83,0.1672,0.22224,0.89017,0.89954,0.97958,0.94653,0.94636,0.16123,0.18133,0.30563,0.000453258,0.000453258,0.000453258
10,8525.51,0.15553,0.19729,0.88533,0.94607,0.95875,0.96352,0.96331,0.17791,0.16117,0.30296,0.000352037,0.000352037,0.000352037
11,9421.71,0.1396,0.17133,0.88397,0.93552,0.98315,0.97266,0.97253,0.14131,0.15141,0.29276,0.0002575,0.0002575,0.0002575
12,10338.2,0.13066,0.15514,0.87832,0.96271,0.97689,0.98145,0.98136,0.12341,0.12276,0.28453,0.00017378,0.00017378,0.00017378
13,11271.8,0.11989,0.13565,0.87755,0.9695,0.97906,0.98407,0.98395,0.12714,0.11044,0.28644,0.000104537,0.000104537,0.000104537
14,12226.8,0.11181,0.12071,0.87533,0.9748,0.98041,0.98744,0.98734,0.1081,0.09953,0.28137,5.2795e-05,5.2795e-05,5.2795e-05
15,13185.3,0.10733,0.11332,0.87186,0.97944,0.97585,0.98559,0.98553,0.10986,0.09769,0.28018,2.08169e-05,2.08169e-05,2.08169e-05
