epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,722.061,2.60735,6.28587,0.89573,0.3541,0.00434,0.00116,0.00054,2.58994,4.32368,0.84505,0.0502546,0.000249977,0.000249977
2,1447.14,2.4652,4.95309,0.87162,0.44298,0.00488,0.00431,0.00204,2.43801,3.61865,0.83341,0.000504062,0.000499489,0.000499489
3,2155.13,2.36297,4.36044,0.86215,0.41801,0.01219,0.00866,0.00425,2.28105,3.27,0.8189,0.000498048,0.000498048,0.000498048
4,2861.12,2.2841,4.05173,0.85385,0.42666,0.02493,0.01332,0.00705,2.19431,3.08592,0.81127,0.000495616,0.000495616,0.000495616
5,3570.65,2.21855,3.8658,0.84741,0.49742,0.02951,0.01798,0.00922,2.16733,2.934,0.81006,0.000492224,0.000492224,0.000492224
6,4283.66,2.17083,3.71954,0.84278,0.4523,0.03837,0.02137,0.01139,2.12294,2.84313,0.80699,0.000487886,0.000487886,0.000487886
7,5000.05,2.13705,3.61021,0.84093,0.46007,0.04422,0.026,0.01365,2.10903,2.76003,0.806,0.00048262,0.00048262,0.00048262
8,5721.5,2.0997,3.51118,0.8373,0.47895,0.04711,0.02792,0.01461,2.06816,2.68407,0.80347,0.000476445,0.000476445,0.000476445
9,6447.71,2.07653,3.43535,0.83474,0.43018,0.05226,0.03017,0.0163,2.0208,2.66567,0.80071,0.000469386,0.000469386,0.000469386
10,7177.34,2.04184,3.32939,0.83294,0.46082,0.05485,0.03266,0.01739,2.00836,2.62744,0.8,0.000461471,0.000461471,0.000461471
11,7908.48,2.03785,3.29188,0.83115,0.46129,0.06115,0.03456,0.0184,1.98054,2.61028,0.79824,0.000452732,0.000452732,0.000452732
12,8641.34,2.00497,3.22476,0.83014,0.44886,0.06304,0.03733,0.02005,1.95104,2.56047,0.79698,0.000443202,0.000443202,0.000443202
13,9376.92,2.0055,3.20201,0.82837,0.47668,0.06575,0.04102,0.02225,1.93977,2.53177,0.79596,0.00043292,0.00043292,0.00043292
14,10114.3,1.97853,3.1355,0.82966,0.45468,0.07081,0.04239,0.02323,1.91511,2.50897,0.79436,0.000421925,0.000421925,0.000421925
15,10857,1.96805,3.09912,0.82728,0.46039,0.07109,0.04294,0.02381,1.89686,2.48673,0.7935,0.000410262,0.000410262,0.000410262
16,11598.7,1.94087,3.056,0.82602,0.41661,0.07492,0.04407,0.02431,1.87874,2.46633,0.79265,0.000397977,0.000397977,0.000397977
17,12342.8,1.93201,3.01585,0.8262,0.42657,0.0754,0.04561,0.02514,1.86225,2.45418,0.79179,0.000385117,0.000385117,0.000385117
18,13088.3,1.91575,2.99341,0.8231,0.43038,0.077,0.04698,0.02582,1.85343,2.44038,0.79132,0.000371734,0.000371734,0.000371734
19,13836,1.90236,2.94135,0.82149,0.432,0.07966,0.04787,0.0265,1.8378,2.42251,0.79085,0.00035788,0.00035788,0.00035788
20,14600.2,1.88781,2.90662,0.82224,0.43421,0.08036,0.04866,0.02703,1.82818,2.41256,0.79037,0.000343611,0.000343611,0.000343611
21,15354.2,1.87587,2.8863,0.81986,0.43128,0.08149,0.0491,0.0272,1.82308,2.4055,0.78999,0.000328982,0.000328982,0.000328982
22,16103.4,1.8676,2.86898,0.82103,0.44706,0.08065,0.0494,0.02739,1.81711,2.39934,0.78968,0.000314051,0.000314051,0.000314051
23,16854.5,1.84757,2.83164,0.81984,0.43991,0.08248,0.04957,0.02746,1.81129,2.39609,0.78928,0.000298877,0.000298877,0.000298877
24,17599.1,1.84488,2.81876,0.81875,0.43334,0.08319,0.04993,0.02784,1.80686,2.39255,0.78911,0.00028352,0.00028352,0.00028352
25,18359,1.83461,2.79494,0.81565,0.43265,0.08498,0.05029,0.028,1.80242,2.38722,0.78889,0.000268041,0.000268041,0.000268041
26,19115.4,1.82575,2.76488,0.81865,0.43316,0.0846,0.05077,0.02836,1.79808,2.38151,0.78864,0.0002525,0.0002525,0.0002525
27,19870.2,1.81331,2.73521,0.8157,0.44084,0.08451,0.05107,0.02864,1.79407,2.37444,0.78839,0.000236959,0.000236959,0.000236959
28,20627.5,1.81826,2.74583,0.8165,0.44875,0.08312,0.05135,0.02877,1.79026,2.37015,0.78825,0.00022148,0.00022148,0.00022148
29,21411.5,1.79059,2.70921,0.81415,0.43465,0.08332,0.05189,0.0291,1.78615,2.36418,0.78811,0.000206123,0.000206123,0.000206123
30,22247.2,1.7902,2.71623,0.81466,0.43414,0.08576,0.052,0.02919,1.7818,2.35968,0.78794,0.000190949,0.000190949,0.000190949
31,23087.9,1.78112,2.68704,0.81618,0.44216,0.08451,0.05267,0.02953,1.77845,2.35458,0.78775,0.000176018,0.000176018,0.000176018
32,23965.5,1.77435,2.6644,0.81298,0.45023,0.08611,0.05304,0.02982,1.77443,2.34902,0.78753,0.000161389,0.000161389,0.000161389
33,24810.8,1.76533,2.65711,0.81272,0.45078,0.08548,0.05346,0.03006,1.76909,2.34391,0.78723,0.00014712,0.00014712,0.00014712
34,25630.5,1.7643,2.63863,0.81216,0.45119,0.0881,0.0538,0.03041,1.76463,2.33947,0.78698,0.000133266,0.000133266,0.000133266
35,26447.6,1.75631,2.63919,0.81263,0.4441,0.08878,0.05408,0.03061,1.76111,2.3345,0.78673,0.000119883,0.000119883,0.000119883
36,27235.4,1.73889,2.62566,0.81125,0.43588,0.0888,0.05428,0.03074,1.75808,2.33146,0.78656,0.000107023,0.000107023,0.000107023
37,28022.5,1.74405,2.61294,0.80968,0.42876,0.08932,0.05457,0.03101,1.75517,2.32777,0.78641,9.47376e-05,9.47376e-05,9.47376e-05
38,28807.7,1.73992,2.60147,0.80969,0.42914,0.09169,0.05493,0.03129,1.75173,2.32466,0.78622,8.30746e-05,8.30746e-05,8.30746e-05
39,29603.1,1.72925,2.59138,0.81043,0.42875,0.09339,0.05508,0.03147,1.74844,2.32193,0.78599,7.20803e-05,7.20803e-05,7.20803e-05
40,30344.4,1.72325,2.5742,0.81209,0.4356,0.09484,0.05528,0.03164,1.74465,2.32118,0.78583,6.1798e-05,6.1798e-05,6.1798e-05
41,31128.1,1.65659,2.60327,0.78435,0.43623,0.09438,0.05524,0.03165,1.74241,2.32299,0.78565,5.22683e-05,5.22683e-05,5.22683e-05
42,31965.3,1.64162,2.57573,0.78276,0.437,0.09447,0.05531,0.03169,1.74118,2.3236,0.78551,4.35288e-05,4.35288e-05,4.35288e-05
43,32797.1,1.64282,2.55816,0.78489,0.44444,0.09399,0.05553,0.03182,1.73827,2.32313,0.78528,3.56141e-05,3.56141e-05,3.56141e-05
44,33639.4,1.64076,2.55604,0.7857,0.45978,0.09413,0.05559,0.03185,1.7361,2.32617,0.78521,2.85553e-05,2.85553e-05,2.85553e-05
45,34517.4,1.64145,2.56143,0.78306,0.46039,0.09366,0.05571,0.03201,1.73378,2.3289,0.78509,2.23803e-05,2.23803e-05,2.23803e-05
46,35387.5,1.61993,2.53719,0.78201,0.46165,0.09313,0.05591,0.03222,1.73177,2.33084,0.78498,1.71135e-05,1.71135e-05,1.71135e-05
47,36259.7,1.62446,2.54859,0.78485,0.46369,0.09378,0.05598,0.03226,1.73075,2.33281,0.78486,1.27757e-05,1.27757e-05,1.27757e-05
48,37071,1.6121,2.5278,0.78033,0.45909,0.09418,0.05578,0.03216,1.72831,2.33369,0.78472,9.38391e-06,9.38391e-06,9.38391e-06
49,37860.1,1.61574,2.52224,0.78021,0.45943,0.09464,0.05593,0.03227,1.72858,2.33517,0.7847,6.95161e-06,6.95161e-06,6.95161e-06
50,38643.9,1.60772,2.51899,0.78132,0.45874,0.09547,0.05614,0.03239,1.72771,2.33766,0.78464,5.48838e-06,5.48838e-06,5.48838e-06
