epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2941,2.74573,8.55909,1.17756,8e-05,0.01407,0.0004,0.0002,2.36273,6.33904,0.9753,0.0673955,0.000163842,0.000163842
2,20.529,2.53791,6.08593,1.03903,0.00036,0.04004,0.00167,0.00082,2.63709,6.28447,1.06926,0.0342287,0.000330428,0.000330428
3,31.038,2.5684,5.61959,1.08772,0.39848,0.00758,0.00892,0.00282,3.06709,10.6277,1.17388,0.00106166,0.00049669,0.00049669
4,41.6346,2.55748,5.07602,1.06824,0.36763,0.02165,0.00554,0.00288,2.72535,15.2603,1.03537,0.000498902,0.000498902,0.000498902
5,52.2405,2.62911,5.06236,1.08192,0.40761,0.01299,0.01,0.00469,2.68734,6.17913,1.04677,0.000498048,0.000498048,0.000498048
6,62.8532,2.50877,4.75343,1.06262,0.30749,0.02814,0.00993,0.00466,2.79496,6.89837,1.08555,0.000496953,0.000496953,0.000496953
7,73.4332,2.55573,4.71673,1.0687,0.51638,0.00541,0.01562,0.00948,2.78277,6.79153,1.06955,0.000495616,0.000495616,0.000495616
8,84.2558,2.51099,4.47923,1.05949,0.19207,0.06602,0.01395,0.00623,2.95118,5.69476,1.09491,0.000494039,0.000494039,0.000494039
9,95.3752,2.60833,4.44247,1.08298,0.43148,0.02706,0.01343,0.00482,2.8324,5.87774,1.05424,0.000492224,0.000492224,0.000492224
10,106.87,2.63061,4.50654,1.08431,0.42369,0.01948,0.0165,0.00796,2.84856,5.14189,1.04574,0.000490173,0.000490173,0.000490173
11,118.185,2.47619,4.36084,1.04717,0.62107,0.00433,0.02001,0.00939,2.86359,5.06142,1.05412,0.000487886,0.000487886,0.000487886
12,129.548,2.38682,4.17809,1.01604,0.5134,0.03856,0.0271,0.01157,2.77993,5.03812,1.05233,0.000485368,0.000485368,0.000485368
13,141.413,2.37409,4.11797,1.03654,0.47524,0.03336,0.02916,0.01058,2.99494,5.42976,1.09126,0.00048262,0.00048262,0.00048262
14,153.872,2.32952,3.92652,1.00171,0.4748,0.0184,0.03078,0.01545,2.6915,4.50574,0.99968,0.000479644,0.000479644,0.000479644
15,166.488,2.37077,3.91527,1.04291,0.6145,0.02678,0.0383,0.01547,2.79042,4.98647,1.02372,0.000476445,0.000476445,0.000476445
16,178.821,2.3366,3.88806,1.01735,0.54336,0.04984,0.04022,0.02094,2.75599,4.68909,0.99866,0.000473024,0.000473024,0.000473024
17,191.117,2.27074,3.80561,0.98956,0.56497,0.01878,0.04155,0.02068,2.83477,4.72537,1.03448,0.000469386,0.000469386,0.000469386
18,203.119,2.20676,3.75681,0.97593,0.62628,0.03139,0.04648,0.01989,2.83616,4.93942,1.04055,0.000465534,0.000465534,0.000465534
19,215.343,2.20262,3.64681,0.97853,0.60183,0.04254,0.05822,0.0244,2.71314,4.9629,1.03307,0.000461471,0.000461471,0.000461471
20,227.574,2.31078,3.61188,0.98173,0.64556,0.0333,0.04878,0.02423,2.6488,4.78969,0.98299,0.000457202,0.000457202,0.000457202
21,239.775,2.16003,3.54277,0.96467,0.51032,0.05789,0.0523,0.02294,2.82209,4.70397,1.02298,0.000452732,0.000452732,0.000452732
22,252.09,2.26151,3.53843,0.98445,0.5612,0.05023,0.05215,0.02608,2.54673,4.92774,0.98912,0.000448063,0.000448063,0.000448063
23,264.308,2.09675,3.37016,0.95315,0.56482,0.03247,0.05421,0.02755,2.60462,4.70067,0.98361,0.000443202,0.000443202,0.000443202
24,276.559,2.16415,3.46043,0.96004,0.59477,0.03247,0.06431,0.02784,2.58516,4.81205,0.99205,0.000438152,0.000438152,0.000438152
25,289.201,2.15072,3.29156,0.96399,0.59718,0.04806,0.06715,0.02347,2.76129,4.75617,1.0225,0.00043292,0.00043292,0.00043292
26,301.648,2.11974,3.34601,0.95142,0.58173,0.04976,0.06154,0.02446,2.72006,4.90234,0.99395,0.000427509,0.000427509,0.000427509
27,314.03,2.18262,3.33399,0.98264,0.52073,0.06169,0.07483,0.03436,2.48817,4.61462,0.967,0.000421925,0.000421925,0.000421925
