epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1737.91,2.27205,3.79563,0.9317,0.03512,0.01586,0.02121,0.01058,2.34794,3.48007,0.92061,0.0673584,0.000666156,0.000666156
2,2024.98,2.11589,2.87133,0.90882,0.05362,0.01515,0.03104,0.01826,2.11834,2.6148,0.88472,0.0346914,0.0013325,0.0013325
3,2315.94,1.98982,2.64353,0.8932,0.06214,0.01973,0.03723,0.02335,1.97129,2.60404,0.86367,0.00202308,0.00199754,0.00199754
4,2592.47,1.9055,2.51725,0.88332,0.06714,0.03202,0.04493,0.02766,1.91099,2.37044,0.86279,0.00199561,0.00199561,0.00199561
5,2868.65,1.83165,2.39675,0.87659,0.11736,0.02861,0.06948,0.04753,1.72119,2.20488,0.83951,0.00199219,0.00199219,0.00199219
6,3146.05,1.77238,2.3047,0.86909,0.10373,0.03396,0.06484,0.04135,1.63469,2.08587,0.83325,0.00198781,0.00198781,0.00198781
7,3419.36,1.7478,2.2355,0.86492,0.11743,0.0418,0.07503,0.04663,1.63717,2.01971,0.83358,0.00198246,0.00198246,0.00198246
8,3695.31,1.70882,2.17971,0.86139,0.14245,0.04398,0.08923,0.05825,1.60852,1.96682,0.83205,0.00197616,0.00197616,0.00197616
9,3970.49,1.67647,2.14174,0.85726,0.15318,0.0494,0.09599,0.06344,1.57708,1.92497,0.82979,0.0019689,0.0019689,0.0019689
10,4246.29,1.6524,2.09179,0.85493,0.16988,0.04847,0.10566,0.07079,1.55774,1.86071,0.82703,0.00196069,0.00196069,0.00196069
11,4532.89,1.63486,2.06616,0.854,0.17024,0.05344,0.10857,0.07202,1.50126,1.83176,0.82305,0.00195155,0.00195155,0.00195155
12,4811.08,1.61864,2.02785,0.85078,0.17208,0.06769,0.1151,0.07824,1.47714,1.80224,0.82105,0.00194147,0.00194147,0.00194147
13,5085.92,1.59376,2.01277,0.84985,0.22241,0.06735,0.14002,0.09832,1.46138,1.7688,0.81979,0.00193048,0.00193048,0.00193048
14,5357.01,1.58714,1.98471,0.84748,0.20326,0.06971,0.1324,0.08975,1.44334,1.73708,0.81888,0.00191858,0.00191858,0.00191858
15,5627.99,1.57647,1.96452,0.84663,0.22243,0.0734,0.14536,0.09804,1.43987,1.70578,0.81903,0.00190578,0.00190578,0.00190578
16,5898.04,1.56504,1.94002,0.84627,0.23849,0.07492,0.15397,0.10574,1.41328,1.68469,0.81684,0.0018921,0.0018921,0.0018921
17,6167.08,1.55036,1.92158,0.845,0.23049,0.07892,0.15258,0.10714,1.40197,1.67314,0.81573,0.00187754,0.00187754,0.00187754
18,6437.84,1.53443,1.90453,0.84319,0.24448,0.08316,0.16113,0.11399,1.38672,1.65728,0.81456,0.00186213,0.00186213,0.00186213
19,6709.12,1.52473,1.88829,0.84202,0.24162,0.08619,0.1614,0.11329,1.37413,1.64129,0.81368,0.00184588,0.00184588,0.00184588
20,6983.05,1.52621,1.87114,0.84306,0.25772,0.08648,0.16985,0.11885,1.3676,1.62838,0.81318,0.00182881,0.00182881,0.00182881
21,7259.05,1.51777,1.85939,0.84392,0.25512,0.08854,0.1692,0.11917,1.36113,1.61492,0.81254,0.00181093,0.00181093,0.00181093
22,7533.21,1.50243,1.84357,0.83997,0.24725,0.08931,0.16573,0.11688,1.35586,1.60424,0.81232,0.00179225,0.00179225,0.00179225
23,7808.69,1.49626,1.82425,0.83916,0.24358,0.09133,0.16555,0.11662,1.35395,1.59657,0.81199,0.00177281,0.00177281,0.00177281
24,8087.2,1.49093,1.82512,0.8405,0.24979,0.09276,0.16927,0.1194,1.35056,1.58919,0.81166,0.00175261,0.00175261,0.00175261
25,8364.23,1.48809,1.8226,0.83634,0.24313,0.09449,0.16704,0.11849,1.34803,1.58373,0.81146,0.00173168,0.00173168,0.00173168
26,8646.02,1.47261,1.7901,0.83799,0.25353,0.09546,0.17282,0.1237,1.34388,1.57779,0.8112,0.00171004,0.00171004,0.00171004
27,8922.59,1.46433,1.77236,0.83742,0.26004,0.09654,0.17629,0.12642,1.34056,1.57206,0.81102,0.0016877,0.0016877,0.0016877
28,9198.87,1.4562,1.77198,0.83513,0.26558,0.09603,0.17905,0.12746,1.33576,1.56571,0.81065,0.0016647,0.0016647,0.0016647
29,9473.44,1.45465,1.75367,0.83424,0.28322,0.09759,0.18866,0.13566,1.33366,1.55935,0.81041,0.00164105,0.00164105,0.00164105
30,9747.35,1.44912,1.75351,0.8368,0.27947,0.09778,0.18685,0.13401,1.32986,1.55368,0.81019,0.00161678,0.00161678,0.00161678
31,10021.4,1.43993,1.74079,0.83472,0.28578,0.09667,0.19009,0.13637,1.32659,1.54837,0.80993,0.00159191,0.00159191,0.00159191
32,10297.3,1.43737,1.73872,0.83325,0.29038,0.09756,0.19277,0.13785,1.32447,1.54319,0.80973,0.00156646,0.00156646,0.00156646
33,10574.8,1.42454,1.71976,0.83206,0.29606,0.09804,0.19588,0.1409,1.32304,1.53888,0.80959,0.00154047,0.00154047,0.00154047
34,10849.6,1.4233,1.7178,0.83349,0.30011,0.09821,0.19796,0.14243,1.32121,1.53467,0.8094,0.00151395,0.00151395,0.00151395
35,11126.8,1.41782,1.69701,0.83352,0.3018,0.09855,0.1993,0.14367,1.31977,1.53039,0.80926,0.00148694,0.00148694,0.00148694
36,11402.4,1.41204,1.6982,0.83147,0.31599,0.10057,0.20728,0.15066,1.31759,1.52568,0.80905,0.00145945,0.00145945,0.00145945
37,11678,1.40374,1.68762,0.83244,0.31678,0.10014,0.2076,0.15121,1.31594,1.52091,0.8089,0.00143152,0.00143152,0.00143152
38,11954,1.40284,1.68111,0.83066,0.31579,0.10082,0.20777,0.15189,1.31322,1.51562,0.80866,0.00140318,0.00140318,0.00140318
39,12226.6,1.39902,1.67592,0.83058,0.31312,0.10102,0.20693,0.15165,1.30973,1.51024,0.80838,0.00137444,0.00137444,0.00137444
40,12500.5,1.39832,1.67316,0.83008,0.31021,0.1019,0.20621,0.15079,1.308,1.50639,0.80817,0.00134535,0.00134535,0.00134535
41,12773.9,1.39605,1.6657,0.82882,0.32599,0.10603,0.21562,0.1569,1.30571,1.50137,0.80805,0.00131593,0.00131593,0.00131593
42,13048.9,1.39383,1.67076,0.82954,0.32864,0.1082,0.21799,0.15883,1.30448,1.4978,0.80781,0.0012862,0.0012862,0.0012862
43,13323.6,1.38662,1.65944,0.8284,0.32563,0.10833,0.21691,0.15934,1.30206,1.49296,0.8076,0.0012562,0.0012562,0.0012562
44,13595.5,1.37687,1.64993,0.82907,0.32914,0.10891,0.21898,0.16099,1.29924,1.48819,0.80751,0.00122596,0.00122596,0.00122596
45,13869,1.37336,1.64371,0.82686,0.34519,0.1102,0.2276,0.16665,1.29705,1.48347,0.80734,0.00119551,0.00119551,0.00119551
46,14142.3,1.37114,1.63731,0.82847,0.34757,0.11233,0.22973,0.16764,1.29446,1.47842,0.80722,0.00116487,0.00116487,0.00116487
47,14416.9,1.36574,1.6247,0.82837,0.35983,0.11469,0.2371,0.17288,1.29097,1.4733,0.80702,0.00113408,0.00113408,0.00113408
48,14693.2,1.36131,1.61601,0.82688,0.36534,0.11546,0.24028,0.17538,1.28878,1.46874,0.8068,0.00110317,0.00110317,0.00110317
49,14967.5,1.35525,1.61196,0.82586,0.36124,0.11683,0.239,0.17434,1.28741,1.46398,0.80664,0.00107216,0.00107216,0.00107216
50,15241.3,1.35515,1.61259,0.82572,0.36798,0.1182,0.24296,0.17696,1.28473,1.45916,0.80638,0.0010411,0.0010411,0.0010411
51,15516.4,1.34852,1.58994,0.8273,0.36747,0.11801,0.24278,0.17657,1.28249,1.45408,0.80623,0.00101,0.00101,0.00101
52,15790.8,1.35212,1.60235,0.82494,0.35969,0.11833,0.23957,0.17495,1.27975,1.44983,0.80601,0.000978903,0.000978903,0.000978903
53,16065.4,1.34475,1.58582,0.82605,0.36412,0.11946,0.24233,0.17731,1.27752,1.44478,0.80577,0.000947837,0.000947837,0.000947837
54,16341.4,1.34358,1.58201,0.82668,0.36503,0.12139,0.24391,0.17833,1.27549,1.44092,0.80557,0.000916833,0.000916833,0.000916833
55,16616.1,1.33727,1.57844,0.82477,0.37646,0.12364,0.2507,0.18336,1.27283,1.43579,0.80536,0.00088592,0.00088592,0.00088592
56,16889.4,1.3238,1.5632,0.82554,0.38527,0.12659,0.25623,0.18603,1.27048,1.43109,0.80521,0.00085513,0.00085513,0.00085513
57,17164.2,1.33035,1.56348,0.8233,0.39938,0.12946,0.26462,0.19155,1.26785,1.42675,0.80497,0.000824492,0.000824492,0.000824492
58,17439.8,1.33157,1.57305,0.82377,0.40051,0.13172,0.2663,0.19277,1.26553,1.42221,0.8048,0.000794038,0.000794038,0.000794038
59,17715.4,1.32782,1.56678,0.82576,0.40284,0.13283,0.26825,0.19436,1.26396,1.41782,0.8046,0.000763797,0.000763797,0.000763797
60,17990.6,1.31797,1.54372,0.82522,0.39932,0.13386,0.26713,0.19357,1.26112,1.4131,0.80436,0.000733799,0.000733799,0.000733799
61,18266.4,1.30779,1.53457,0.82237,0.40002,0.13593,0.26856,0.19454,1.25933,1.40916,0.80422,0.000704073,0.000704073,0.000704073
