epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,544.001,1.26609,1.52946,0.85927,0.3629,0.18717,0.27404,0.18441,1.29777,1.44619,0.84399,0.0673521,0.000666284,0.000666284
2,1445.61,1.23145,1.46594,0.85406,0.34367,0.22356,0.28361,0.19166,1.28917,1.40036,0.84269,0.0346841,0.00133165,0.00133165
3,2369.88,1.23267,1.47265,0.85513,0.3703,0.22812,0.30191,0.2108,1.22685,1.3524,0.83458,0.00201097,0.00199181,0.00199181
4,3196.99,1.21487,1.45854,0.85327,0.36969,0.22133,0.29853,0.2113,1.20391,1.36624,0.83279,0.00198246,0.00198246,0.00198246
5,3892.12,1.21278,1.45168,0.85207,0.41255,0.23411,0.32317,0.22671,1.18814,1.31937,0.82995,0.0019689,0.0019689,0.0019689
6,4519.25,1.21065,1.43204,0.85411,0.42149,0.22971,0.32814,0.23069,1.19172,1.30695,0.83137,0.00195155,0.00195155,0.00195155
7,5110.15,1.20707,1.42515,0.8525,0.41655,0.24161,0.33593,0.23839,1.1748,1.28442,0.82971,0.00193048,0.00193048,0.00193048
8,5690.89,1.20193,1.41849,0.85165,0.40917,0.26424,0.33803,0.23927,1.17076,1.29634,0.82931,0.00190578,0.00190578,0.00190578
9,6278.21,1.2012,1.41803,0.85066,0.3911,0.262,0.33297,0.23795,1.15233,1.2712,0.82661,0.00187754,0.00187754,0.00187754
10,6867.89,1.19516,1.40618,0.85207,0.42257,0.25707,0.3422,0.24723,1.15187,1.24615,0.82683,0.00184588,0.00184588,0.00184588
11,7496.28,1.19202,1.41013,0.8483,0.43868,0.26094,0.35499,0.24997,1.14245,1.24198,0.82552,0.00181093,0.00181093,0.00181093
12,8085.17,1.17996,1.3785,0.84727,0.46059,0.27328,0.37432,0.26752,1.12744,1.22679,0.82367,0.00177281,0.00177281,0.00177281
13,8691.07,1.1827,1.38508,0.84591,0.4483,0.27904,0.37166,0.26182,1.14149,1.21379,0.82585,0.00173168,0.00173168,0.00173168
14,9320.23,1.18248,1.37755,0.84833,0.44143,0.2724,0.36246,0.2585,1.12108,1.20336,0.82348,0.0016877,0.0016877,0.0016877
15,9923.29,1.1754,1.37133,0.84652,0.44749,0.28391,0.37153,0.2676,1.12115,1.1912,0.82337,0.00164105,0.00164105,0.00164105
16,10520.8,1.16839,1.36459,0.84692,0.44795,0.30275,0.38491,0.27471,1.11986,1.18927,0.82319,0.00159191,0.00159191,0.00159191
17,11110.6,1.17058,1.35023,0.84555,0.43824,0.29405,0.37541,0.26882,1.11424,1.17442,0.82207,0.00154047,0.00154047,0.00154047
18,11690.9,1.16387,1.34689,0.84436,0.44664,0.29846,0.38128,0.27297,1.11847,1.16637,0.82243,0.00148694,0.00148694,0.00148694
19,12279.1,1.16412,1.34201,0.84507,0.45187,0.30332,0.38678,0.27237,1.12344,1.16583,0.82322,0.00143152,0.00143152,0.00143152
20,12842,1.15538,1.3282,0.84296,0.46537,0.31515,0.40029,0.28371,1.11833,1.15791,0.82285,0.00137444,0.00137444,0.00137444
21,13405.8,1.15717,1.33027,0.84392,0.46137,0.31256,0.39881,0.28537,1.1137,1.15168,0.82218,0.00131593,0.00131593,0.00131593
22,13971.6,1.15244,1.32226,0.84497,0.46085,0.31577,0.40008,0.28607,1.10847,1.14643,0.82158,0.0012562,0.0012562,0.0012562
23,14537.6,1.15202,1.31652,0.84292,0.45255,0.31659,0.39816,0.28495,1.10719,1.14426,0.82152,0.00119551,0.00119551,0.00119551
24,15103,1.13622,1.30047,0.8412,0.45736,0.32296,0.40278,0.29108,1.10604,1.13901,0.82147,0.00113408,0.00113408,0.00113408
25,15667.3,1.13969,1.30119,0.84162,0.47433,0.33409,0.41633,0.29879,1.10308,1.13515,0.82113,0.00107216,0.00107216,0.00107216
26,16231.4,1.13238,1.28432,0.84264,0.47955,0.33205,0.41863,0.3009,1.10238,1.13223,0.82102,0.00101,0.00101,0.00101
27,16796.4,1.13719,1.29476,0.84123,0.47581,0.33265,0.4176,0.30097,1.10113,1.12933,0.82085,0.000947837,0.000947837,0.000947837
28,17362.3,1.12766,1.27791,0.83979,0.47612,0.33385,0.4183,0.30011,1.10028,1.12705,0.82068,0.00088592,0.00088592,0.00088592
29,17930.1,1.12716,1.27052,0.83957,0.47564,0.33356,0.41799,0.30054,1.09857,1.1253,0.82044,0.000824492,0.000824492,0.000824492
30,18498.3,1.12483,1.27147,0.83955,0.47059,0.33344,0.41612,0.29995,1.09782,1.12357,0.8203,0.000763797,0.000763797,0.000763797
31,19068.8,1.11672,1.25635,0.83872,0.47205,0.33389,0.41722,0.3009,1.09724,1.12127,0.8202,0.000704073,0.000704073,0.000704073
32,19638.9,1.11944,1.25612,0.83968,0.47469,0.33566,0.41944,0.30171,1.09633,1.11938,0.82,0.000645557,0.000645557,0.000645557
33,20209.7,1.11392,1.25188,0.8399,0.4765,0.33616,0.42045,0.30228,1.09523,1.1177,0.81988,0.000588479,0.000588479,0.000588479
34,20780.7,1.11453,1.25085,0.8378,0.47507,0.33635,0.42034,0.30243,1.09339,1.11583,0.81971,0.000533064,0.000533064,0.000533064
35,21353.6,1.10853,1.23478,0.83894,0.47493,0.33781,0.42108,0.30293,1.09241,1.11463,0.81953,0.000479531,0.000479531,0.000479531
36,21926.6,1.10143,1.22267,0.83713,0.47655,0.33887,0.42262,0.30331,1.091,1.1131,0.81939,0.000428093,0.000428093,0.000428093
37,22500.3,1.1037,1.22979,0.83768,0.47488,0.33899,0.42174,0.30402,1.08994,1.11136,0.81928,0.00037895,0.00037895,0.00037895
38,437.04,1.09899,1.23033,0.83689,0.47902,0.33956,0.42435,0.30494,1.09029,1.11125,0.8193,0.000332298,0.000332298,0.000332298
39,917.688,1.10004,1.22198,0.83623,0.47902,0.34021,0.42451,0.30547,1.08997,1.11066,0.81923,0.000288321,0.000288321,0.000288321
40,1408.4,1.0982,1.22451,0.83661,0.47679,0.34024,0.42369,0.30455,1.09047,1.11045,0.81927,0.000247192,0.000247192,0.000247192
41,1887.91,1.05998,1.12668,0.8338,0.47509,0.34259,0.42414,0.305,1.0904,1.11038,0.81921,0.000209073,0.000209073,0.000209073
42,2347.69,1.048,1.10445,0.83055,0.47389,0.34194,0.42325,0.30439,1.08972,1.10978,0.81913,0.000174115,0.000174115,0.000174115
43,2805.17,1.04522,1.09252,0.8318,0.4746,0.34206,0.42358,0.30515,1.08855,1.1089,0.81899,0.000142456,0.000142456,0.000142456
44,3258.2,1.04605,1.09744,0.83164,0.47576,0.34374,0.42452,0.3055,1.08753,1.10773,0.81882,0.000114221,0.000114221,0.000114221
45,3708.07,1.04109,1.09009,0.83102,0.47403,0.34334,0.42427,0.30502,1.08668,1.10686,0.81873,8.95213e-05,8.95213e-05,8.95213e-05
46,4161.97,1.03999,1.08713,0.83172,0.46927,0.34321,0.42228,0.30372,1.08599,1.10579,0.81862,6.8454e-05,6.8454e-05,6.8454e-05
47,4614.67,1.04142,1.08613,0.83123,0.47258,0.34374,0.42372,0.30452,1.08542,1.10474,0.81852,5.11027e-05,5.11027e-05,5.11027e-05
48,5086.23,1.03501,1.07816,0.82985,0.47468,0.34375,0.42471,0.30549,1.08494,1.10395,0.81846,3.75356e-05,3.75356e-05,3.75356e-05
49,5570.75,1.03773,1.08236,0.83071,0.47534,0.34493,0.42473,0.30578,1.08415,1.10344,0.81838,2.78064e-05,2.78064e-05,2.78064e-05
50,6017.12,1.03777,1.08105,0.82887,0.47555,0.34524,0.42493,0.30592,1.08334,1.10263,0.81832,2.19535e-05,2.19535e-05,2.19535e-05
