epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1637.09,2.26204,10.1181,0.95088,0.00891,0.00136,0.0047,0.00281,2.14815,7.91089,0.8487,0.0670176,0.000333156,0.000333156
2,3140.74,2.01638,5.50464,0.87643,0.02005,0.00648,0.0119,0.00838,2.01088,5.86994,0.84127,0.0340135,0.000662428,0.000662428
3,4641.93,1.96282,4.60745,0.86575,0.03246,0.01231,0.01984,0.01289,2.07342,5.0099,0.84837,0.00099334,0.0009756,0.0009756
4,6146.94,1.9209,3.88704,0.86766,0.04566,0.02008,0.02941,0.01955,1.97706,4.15275,0.83547,0.000946048,0.000946048,0.000946048
5,7649.34,1.86164,3.42459,0.86283,0.0753,0.02026,0.04494,0.03079,1.87048,3.71433,0.83154,0.000905463,0.000905463,0.000905463
6,9148.75,1.81974,3.13481,0.85834,0.06511,0.02822,0.04159,0.02641,1.91467,3.59952,0.83401,0.000855018,0.000855018,0.000855018
7,10653,1.75795,2.92484,0.84959,0.11282,0.02932,0.06743,0.04539,1.78339,3.27816,0.82509,0.000795954,0.000795954,0.000795954
8,12175,1.70898,2.75319,0.84578,0.10645,0.04564,0.07084,0.04492,1.90536,3.37835,0.83435,0.000729725,0.000729725,0.000729725
9,13676.9,1.70447,2.69057,0.84205,0.1082,0.03107,0.06641,0.04476,1.83198,3.11334,0.82277,0.000657963,0.000657963,0.000657963
10,15185.2,1.65953,2.5559,0.84263,0.11357,0.03781,0.07135,0.04756,1.73394,3.00717,0.82179,0.000582435,0.000582435,0.000582435
11,16672.6,1.58743,2.54393,0.82084,0.12906,0.05215,0.08362,0.05551,1.76136,3.00162,0.81957,0.000505,0.000505,0.000505
12,18159.3,1.56126,2.41807,0.82543,0.13537,0.04533,0.08433,0.05619,1.77608,2.91278,0.82228,0.000427565,0.000427565,0.000427565
13,19645.9,1.52154,2.33027,0.81566,0.12696,0.05442,0.08454,0.05609,1.73021,2.851,0.81859,0.000352037,0.000352037,0.000352037
14,21136.5,1.49698,2.24179,0.81466,0.14197,0.05538,0.09372,0.06039,1.68493,2.79961,0.81626,0.000280275,0.000280275,0.000280275
15,22625,1.46404,2.21219,0.81011,0.14717,0.05545,0.09727,0.06514,1.65489,2.75913,0.8151,0.000214046,0.000214046,0.000214046
16,24114.3,1.46489,2.14912,0.8171,0.15898,0.06655,0.1085,0.07381,1.6165,2.73241,0.81265,0.000154982,0.000154982,0.000154982
17,25647.9,1.4245,2.09185,0.81036,0.15654,0.06469,0.10658,0.07275,1.61915,2.719,0.81217,0.000104537,0.000104537,0.000104537
18,27199.4,1.41995,2.08513,0.80984,0.14545,0.06826,0.10332,0.06891,1.60949,2.71223,0.81215,6.39518e-05,6.39518e-05,6.39518e-05
19,28803.9,1.39596,2.04103,0.81083,0.1469,0.06719,0.10357,0.07001,1.58962,2.68005,0.81099,3.4227e-05,3.4227e-05,3.4227e-05
20,30573.2,1.4052,2.02255,0.81243,0.15163,0.06821,0.10616,0.07235,1.60015,2.68812,0.81125,1.60943e-05,1.60943e-05,1.60943e-05
